,i,AC_start,trig_start,FI_start,SI_start,sv,state,sustainability,amplitude_mean,amplitude_std_dev,period,period_std_dev
263,263.0,0.04,0.0005,0.0649999999999999,0.6000000000000001,0.000175,0,0,0,0,0,0
264,264.0,0.04,0.0005,0.0649999999999999,0.6000000000000001,0.0001999999999999,0,0,0,0,0,0
265,265.0,0.04,0.0005,0.0649999999999999,0.8,0.0001,0,0,0,0,0,0
266,266.0,0.04,0.0005,0.0649999999999999,0.8,0.000125,0,0,0,0,0,0
267,267.0,0.04,0.0005,0.0649999999999999,0.8,0.00015,0,0,0,0,0,0
268,268.0,0.04,0.0005,0.0649999999999999,0.8,0.000175,0,0,0,0,0,0
269,269.0,0.04,0.0005,0.0649999999999999,0.8,0.0001999999999999,0,0,0,0,0,0
270,270.0,0.04,0.0005,0.0649999999999999,1.0,0.0001,0,0,0,0,0,0
271,271.0,0.04,0.0005,0.0649999999999999,1.0,0.000125,0,0,0,0,0,0
272,272.0,0.04,0.0005,0.0649999999999999,1.0,0.00015,0,0,0,0,0,0
273,273.0,0.04,0.0005,0.0649999999999999,1.0,0.000175,0,0,0,0,0,0
274,274.0,0.04,0.0005,0.0649999999999999,1.0,0.0001999999999999,0,0,0,0,0,0
275,275.0,0.04,0.0005,0.0649999999999999,1.2,0.0001,0,0,0,0,0,0
276,276.0,0.04,0.0005,0.0649999999999999,1.2,0.000125,0,0,0,0,0,0
277,277.0,0.04,0.0005,0.0649999999999999,1.2,0.00015,0,0,0,0,0,0
278,278.0,0.04,0.0005,0.0649999999999999,1.2,0.000175,0,0,0,0,0,0
279,279.0,0.04,0.0005,0.0649999999999999,1.2,0.0001999999999999,0,0,0,0,0,0
280,280.0,0.04,0.0005,0.0649999999999999,1.4,0.0001,0,0,0,0,0,0
281,281.0,0.04,0.0005,0.0649999999999999,1.4,0.000125,0,0,0,0,0,0
282,282.0,0.04,0.0005,0.0649999999999999,1.4,0.00015,0,0,0,0,0,0
